,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,52.8,27.0,52.8,27.0
1,Alabama,50.7,37.0,50.7,37.0
2,United States,53.4,,53.4,
3,Arkansas,42.6,50.0,42.6,50.0
4,Arizona,58.9,10.0,58.9,10.0
5,California,51.9,32.0,51.9,32.0
6,Colorado,58.1,11.0,58.1,11.0
7,Connecticut,54.0,23.0,54.0,23.0
8,District of Columbia,61.1,,61.1,
9,Delaware,51.8,34.0,51.8,34.0
10,Florida,52.6,28.0,52.6,28.0
11,Georgia,55.9,16.0,55.9,16.0
12,Hawaii,44.0,49.0,44.0,49.0
13,Iowa,59.6,8.0,59.6,8.0
14,Idaho,47.9,47.0,47.9,47.0
15,Illinois,53.0,26.0,53.0,26.0
16,Indiana,49.3,42.0,49.3,42.0
17,Kansas,56.9,14.0,56.9,14.0
18,Kentucky,53.8,25.0,53.8,25.0
19,Louisiana,49.8,38.0,49.8,38.0
20,Massachusetts,55.5,17.0,55.5,17.0
21,Maryland,54.2,21.0,54.2,21.0
22,Maine,65.6,1.0,65.6,1.0
23,Michigan,59.5,9.0,59.5,9.0
24,Minnesota,63.0,4.0,63.0,4.0
25,Missouri,55.0,18.0,55.0,18.0
26,Mississippi,54.2,21.0,54.2,21.0
27,Montana,63.8,3.0,63.8,3.0
28,North Carolina,52.4,30.0,52.4,30.0
29,North Dakota,61.9,5.0,61.9,5.0
30,Nebraska,50.8,36.0,50.8,36.0
31,New Hampshire,56.2,15.0,56.2,15.0
32,New Jersey,54.0,23.0,54.0,23.0
33,New Mexico,48.1,46.0,48.1,46.0
34,Nevada,48.7,43.0,48.7,43.0
35,New York,49.5,40.0,49.5,40.0
36,Ohio,52.5,29.0,52.5,29.0
37,Oklahoma,49.4,41.0,49.4,41.0
38,Oregon,61.1,7.0,61.1,7.0
39,Pennsylvania,54.6,20.0,54.6,20.0
40,Rhode Island,51.6,35.0,51.6,35.0
41,South Carolina,48.7,43.0,48.7,43.0
42,South Dakota,51.9,32.0,51.9,32.0
43,Tennessee,49.6,39.0,49.6,39.0
44,Texas,48.4,45.0,48.4,45.0
45,Utah,57.6,12.0,57.6,12.0
46,Virginia,57.5,13.0,57.5,13.0
47,Vermont,54.9,19.0,54.9,19.0
48,Washington,61.9,5.0,61.9,5.0
49,Wisconsin,64.6,2.0,64.6,2.0
50,West Virginia,44.1,48.0,44.1,48.0
51,Wyoming,52.1,31.0,52.1,31.0
