State,Value_2019,Value_2018
FL,128214,121224
TX,114818,80607
AZ,66714,66009
NC,48836,56978
SC,41933,44861
GA,35728,36738
TN,34155,32778
NV,31238,37336
WA,29903,30054
ID,23103,22747
CO,18862,26840
OR,15196,18736
AL,8820,8385
DE,6378,6975
UT,6330,7583
MT,5522,3649
ME,5415,5960
NH,4531,4483
IN,4205,6360
OK,4024,214
AR,2253,2431
MO,481,-972
WY,418,-1759
SD,410,823
NM,144,-1901
KY,-1060,244
WI,-1260,555
VT,-1343,-519
RI,-1859,-2049
ND,-2433,-3635
VA,-3686,-6466
MN,-4597,3838
NE,-4603,-3960
WV,-5299,-4193
IA,-5355,-2467
AK,-7504,-8907
MS,-8042,-6534
HI,-9005,-9126
KS,-10441,-9849
OH,-11019,-6315
CT,-11960,-14449
PA,-12970,-10097
MI,-13819,-7497
MD,-15916,-15477
LA,-18951,-19769
MA,-26086,-26536
NJ,-26853,-32888
IL,-82107,-87673
NY,-153970,-159480
CA,-167563,-151536
