,Rank,State
0,1,Massachusetts
1,2,Hawaii
2,3,New Jersey
3,4,Maryland
4,5,New York
5,6,California
6,7,Connecticut
7,8,Washington
8,9,Colorado
9,10,Utah
10,11,Virginia
11,12,Rhode Island
12,13,Illinois
13,14,Oregon
14,15,Minnesota
15,16,New Hampshire
16,17,Pennsylvania
17,18,Nebraska
18,19,Delaware
19,20,North Dakota
20,21,Nevada
21,22,Vermont
22,23,Alaska
23,24,Florida
24,25,Wisconsin
25,26,Kansas
26,27,Arizona
27,28,Wyoming
28,29,Maine
29,30,South Dakota
30,31,Ohio
31,32,Georgia
32,33,Montana
33,34,Missouri
34,35,Texas
35,36,Iowa
36,37,North Carolina
37,38,Michigan
38,39,Idaho
39,40,South Carolina
40,41,Indiana
41,42,Tennessee
42,43,Louisiana
43,44,Alabama
44,45,Oklahoma
45,46,Kentucky
46,47,West Virginia
47,48,New Mexico
48,49,Arkansas
49,50,Mississippi
