State,rpi_2017-2018
Wyoming,6.8
Colorado,5.5
Utah,5.2
South Dakota,5
Idaho,4.9
Texas,4.8
Washington,4.7
Iowa,4.3
New Mexico,4.3
Delaware,4.2
Florida,3.9
North Dakota,3.9
Oregon,3.9
Nevada,3.8
Arizona,3.7
Minnesota,3.6
Montana,3.6
Indiana,3.5
Wisconsin,3.5
Arkansas,3.4
Louisiana,3.4
New Hampshire,3.4
Georgia,3.3
Nebraska,3.2
United States,3.1
Illinois,3.1
Oklahoma,3.1
Pennsylvania,3.1
California,3
Tennessee,3
Connecticut,2.9
Kansas,2.9
Missouri,2.9
North Carolina,2.9
Ohio,2.7
South Carolina,2.7
Alaska,2.6
Massachusetts,2.5
Virginia,2.5
Michigan,2.4
West Virginia,2.3
Maryland,2
Alabama,1.9
Maine,1.9
Hawaii,1.6
New York,1.6
Vermont,1.6
District of Columbia,1.4
Rhode Island,1.4
Kentucky,1.2
New Jersey,1
Mississippi,0.4
